,player_id,player_display_name,headshot_url,position,team,games_played,total_fantasy_ppr,avg_fantasy_ppr,std_fantasy_ppr,total_passing_yards,total_passing_tds,total_passing_2pt_conversions,total_rushing_yards,total_rushing_tds,total_carries,total_rushing_2pt_conversions,total_targets,total_receptions,total_receiving_yards,total_receiving_tds,total_interceptions,total_fumbles_lost
96,00-0035685,David Montgomery,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xeb6fq4zimgkksq7uari",RB,DET,16,160.42,10.02625,6.885721337182716,3,1,0,674,8,150,1,28,23,179,0,0,1
97,00-0038563,Tre Tucker,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fsx05ats4azj8mus03d4",WR,LV,16,156.3,9.76875,9.16593103108826,0,0,0,47,0,10,0,86,55,666,5,0,0
98,00-0037664,Alec Pierce,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zeghrjc8rir3r3zi6det",WR,IND,14,154.1,11.007142857142856,7.104220228494121,0,0,0,0,0,0,0,77,43,871,4,0,0
99,00-0033288,George Kittle,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ztz3xqjaqgok9m4nylgs",TE,SF,10,153.6,15.36,8.378040078416642,0,0,0,-3,0,1,0,62,52,599,7,0,0
100,00-0039067,Rashee Rice,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/iy0uidp9wokc6a7u8lwq",WR,KC,8,150.1,18.7625,8.111532795083447,0,0,0,20,1,5,0,78,53,571,5,0,0
101,00-0039919,Rome Odunze,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yqjdhpsno75du0n72u4w",WR,CHI,12,146.1,12.174999999999999,9.172699116994359,0,0,0,0,0,0,0,90,44,661,6,0,0
102,00-0039793,AJ Barner,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ul77k5rqbqzd5zzqsaea",TE,SEA,16,143.9,8.99375,6.557791167763731,0,0,0,14,1,10,0,65,50,505,6,0,0
103,00-0036875,Rhamondre Stevenson,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ed09migntlyy8ntgvcu1",RB,NE,13,143.5,11.038461538461538,7.995992586033171,0,0,0,472,5,123,1,35,30,323,1,0,3
104,00-0036945,Justin Fields,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fbteankooq2c33yquq2j",QB,NYJ,9,142.66,15.851111111111111,10.795402313536588,1259,7,3,383,4,71,2,1,0,0,0,1,3
105,00-0040236,Kyle Monangai,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cici2wf1walmoluhe95i",RB,CHI,16,140.8,8.8,6.444739456849025,0,0,0,769,5,163,1,29,17,149,0,0,0
106,00-0040126,Colston Loveland,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tyjb6vfug7gaunvcune3",TE,CHI,15,140.0,9.333333333333334,7.795206097034131,0,0,0,-2,0,1,0,69,48,622,5,0,0
107,00-0033923,Kareem Hunt,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hktvzf8hiupoycyg1kmc",RB,KC,16,138.9,8.68125,6.22491967819666,0,0,0,597,8,158,0,21,15,122,1,0,1
108,00-0040583,Woody Marks,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pwvxisrnjitkkghkfcn3",RB,HOU,15,138.3,9.22,7.150544434816534,0,0,0,655,2,186,0,33,22,208,3,0,0
109,00-0040242,Jacory Croskey-Merritt,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tklzj7zzve1t4z2hhr1g",RB,WAS,16,137.4,8.5875,7.5808420816335875,0,0,0,776,8,162,0,13,9,68,0,0,2
110,00-0037256,Rachaad White,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sxugbms8ketvgmilnlu3",RB,TB,16,136.9,8.55625,5.64493504538951,0,0,0,549,4,125,0,43,38,200,0,0,0
